criterion_id,uncertainty,green,amber,red,decision_owner,evidence_source
PC001,mechanism safety,"zero false credit activations across every frozen ineligible state","only a test-generation or classification ambiguity with no observed activation; repair and rerun","any ineligible state activates credit",methods-reviewer,reference-model exhaustive-results
PC002,eligible completeness,"every frozen eligible state activates with the expected reason code","an ambiguity in eligible-state specification; revise before confirmatory use","any valid eligible state is rejected after specification freeze",methods-reviewer,reference-model exhaustive-results
PC003,adversarial binding,"all frozen replay substitution downgrade stale-authority scope and type-confusion mutations reject","a mutation class is underspecified; expand and rerun","any prespecified mutation activates credit",security-reviewer,adversarial-mutation-results
PC004,cross-runtime equivalence,"exact Python and Solidity agreement for eligibility and reason code over all frozen cases","difference is confined to non-semantic serialization and is corrected before freeze","any decision or reason-code semantic divergence",methods-reviewer,differential-test-report
PC005,on-chain boundedness,"no unbounded or state-dependent iteration and fair-baseline gas is within the independently frozen threshold","bounded but threshold is exceeded; optimize once or narrow claim","unbounded path or threshold remains undefinable",methods-reviewer,foundry-gas-report
PC006,novelty,"independent challenge retains a material enforced difference after strongest-predecessor reconciliation","difference is potentially useful but obviousness remains unresolved; reframe contribution","no material difference or novelty defeated",scientific-reviewer,signed-novelty-challenge
PC007,provenance,"every used asset has exact hash origin transformation and documented authorization","noncentral asset is uncertain and excluded without changing claim","central asset lacks authorization or cannot be replaced",accountable-author,provenance-manifest
PC008,E3 negative case,"historical signed chain is restored or a new reconciliation supports the narrow negative-case provenance","E3 is excluded and manuscript remains coherent using synthetic negative states","E3 is used despite unresolved drift or broader scope is claimed",external-e3-authority,e3-reconciliation-or-exclusion-record
PC009,reproducibility,"clean replay regenerates all central tables figures and hashes within declared deterministic fields","one documented noncentral environment difference is bounded and independently accepted","central results cannot be regenerated",reproducibility-reviewer,reproducibility-report
PC010,independence,"registered scientific and methods reviewers sign required artifacts with disclosed conflicts","review scope must be narrowed because one role overlaps production","producer self-certifies a scientific gate",accountable-author,verifier-registry-and-verification-ledger

