evidence_id,claim_ids,source_type,title,identifier,decision,reason,checked_at
PA001,C001,peer_reviewed_primary,LATTICE a governance-first architecture for authorized autonomous AI operations,10.3389/frai.2026.1800407,DEFEATING_OR_CLOSE,"Deterministic signed governance; fail-safe execution gate; confidence cap; evidence chain; broad conceptual overlap",2026-08-29
PA002,C001,preprint_primary,Tool Receipts Not Zero-Knowledge Proofs Practical Hallucination Detection for AI Agents,arXiv:2603.10060,DEFEATING_OR_CLOSE,"Signed tool receipts and epistemic source classes overlap receipt semantics and non-binary evidence disposition",2026-08-29
PA003,C001,preprint_primary,A Challenge-Nonce Freshness Gap in Project Veraison TPM Reference Schemes,arXiv:2608.03534,DEFEATING_OR_CLOSE,"Action Evidence Package binds action authority and outcome; demonstrates freshness/replay as a necessary gate",2026-08-29
PA004,C001,preprint_primary,When Can Fraud Operations Authorize Automation,arXiv:2608.08577,ADJACENT_DEFEATING,"Treats automation as constrained by evidence freshness and review capacity",2026-08-29
PA005,C001,preprint_primary,Testing and Evaluation of Agentic AI Systems in Military Command and Control,arXiv:2608.20597,ADJACENT,"Assurance case separates claims evidence and argument and emphasizes evidence currency and bounded claims",2026-08-29
PA006,C001,preprint_primary,opML Optimistic Machine Learning on Blockchain,arXiv:2401.17555,KNOWN_CLOSE,"Defeats any novelty claim over optimistic ML verification itself",2026-08-25
PA007,C001,official_repository,CommitLLM,lambdaclass/CommitLLM,KNOWN_CLOSE,"Committed open-weight inference and challenge-time audit disclosure overlap execution commitment and audit",2026-08-25
PA008,C001,preprint_primary,EigenAI deterministic inference and verifiable results,arXiv:2602.00182,KNOWN_CLOSE,"Deterministic re-execution public audit and cryptoeconomic enforcement overlap lifecycle",2026-08-25
PA009,C001,conference_metadata,Building Trustworthy AI Systems AI Inference Verification with Blockchain and Zero-Knowledge Proofs,10.1109/BRAINS63024.2024.10732140,ADJACENT,"On-chain verification of AI inference defeats primitive verification novelty",2026-08-29
PA010,C001,conference_metadata,ProvAuditChain a Gas-Efficient On-Chain Provenance Framework for AI-Driven Smart Contract Audits,10.1109/ICTC66702.2025.11388677,ADJACENT_DEFEATING,"On-chain AI audit provenance overlaps binding and gas-aware implementation",2026-08-29
PA011,C001,security_primary,Hollow-LLM Attack,LOCAL_PRIOR_ART_SNAPSHOT,DEFEATING,"Inference correctness evidence may fail to bind actual computational effort",2026-08-25
PA012,C001,patent_public_index,Blockchain-native ML verification and verification-linked transaction family,US11562228B2_US11983608B2_US20250165967A1,DEFEATING_OR_UNKNOWN,"Patent adjacency weakens economic-verification composition; qualified claims review pending",2026-08-25
PA013,C003,authorized_local_external_result,PoI E3 externally attested negative semantic result,EXT-E3-RESULT-ATTEST,CONTEXT_ONLY,"Shows a bound execution can remain semantically NOT_SUPPORTED; authority-chain hash drift requires qualification",2026-08-29
PA014,C001,live_metadata_snapshot,OpenAlex and Crossref ALR refresh,01-novelty/prior-art-raw-snapshots.json,SEARCH_EVIDENCE,"300 query-source records captured; noisy metadata requires shortlist screening and cannot assert novelty",2026-08-29

