asset_id,asset_type,source,authorization,acquired_at,sha256,processing,owner
ASSET001,protocol,03-design/protocol.md,USER_CONFIRMED_INTERNAL_RESEARCH_PREPARATION,2026-08-29T05:00:00Z,753c330aef2f22e6848583f40ef4a458775d52d01c2978833665c21299246ccf,Authored in new case and used as development-only protocol,root-integration-owner
ASSET002,analysis_plan,03-design/analysis-plan.md,USER_CONFIRMED_INTERNAL_RESEARCH_PREPARATION,2026-08-29T05:00:00Z,614a149685504e2a6b7c75fc512763c2bcb22d529177bed06913a065a4ea1303,Authored in new case and used as development-only analysis plan,root-integration-owner
ASSET003,python_reference,implementation/python/alr_mpp.py,USER_CONFIRMED_INTERNAL_RESEARCH_PREPARATION,2026-08-29T05:00:00Z,9023486cff28870f4acbbc04f7c81ee72ceebf9c912955bac65e925aff974fac,New deterministic reference implementation,root-integration-owner
ASSET004,solidity_gate,implementation/solidity/src/ALRReceiptGate.sol,USER_CONFIRMED_INTERNAL_RESEARCH_PREPARATION,2026-08-29T05:00:00Z,563f32e9e810177d8dd34311762913f940c75f068e3dc055952ace028247c162,New local EVM implementation,root-integration-owner
ASSET005,generated_base_results,04-data/development/alr-pilot-v1-run-001/base-results.csv,AUTHORIZED_SYNTHETIC_LOCAL_EXECUTION,2026-08-29T05:00:00Z,44affd48e439b0ea8669ca9767d951a9a96e46cdde1b2416cea439447bf7f250,Complete 3^6 state enumeration,root-integration-owner
ASSET006,generated_mutation_results,04-data/development/alr-pilot-v1-run-001/mutation-results.csv,AUTHORIZED_SYNTHETIC_LOCAL_EXECUTION,2026-08-29T05:00:00Z,f1ef61762a83096f68486b07e9db4948429d452fa2a7ca9af1de6d03bb4fb160,Seven prespecified single-fault mutations,root-integration-owner
ASSET007,development_summary,04-data/development/alr-pilot-v1-run-001/python-summary.json,AUTHORIZED_SYNTHETIC_LOCAL_EXECUTION,2026-08-29T05:00:00Z,b5048255525d7751f817fd3d5be510f1ee609bce06bfcd4c39e4c3d02a31178d,Machine-generated development summary,root-integration-owner
ASSET008,development_run_manifest,04-data/development/alr-pilot-v1-run-001/run-manifest.json,AUTHORIZED_SYNTHETIC_LOCAL_EXECUTION,2026-08-29T05:00:00Z,d0ad6232523901eada9c306082143abfa7ba5c0b45caf37cbbf8e13399ee4acf,Captured argv return codes logs and hashes,root-integration-owner
ASSET009,replay_run_manifest,04-data/development/alr-pilot-v1-replay-001/run-manifest.json,AUTHORIZED_SYNTHETIC_LOCAL_REPLAY,2026-08-29T05:00:00Z,c4df148c5e2cc61a4f30f1dfdc628462755ae0b8201eebf9323f675b4513fd36,Independent local process replay by same producer; not independent scientific verification,root-integration-owner
ASSET010,external_reproduction_candidate_harness,implementation/python/external_reproduction_candidate.py,USER_CONFIRMED_INTERNAL_RESEARCH_PREPARATION,2026-08-30T00:00:00Z,121f363082f60170aeb161c8c0195d537b7718019795b42d8c9716984dc8cc84,Fresh-directory candidate harness with frozen source and result hashes; local producer PASS does not establish external independence,root-integration-owner
