claim_id,predecessor_id,material_difference,defeating_evidence,residual_uncertainty
C001,PA001,"Candidate adds inference-specific typed assurance receipt and EVM credit activation under an all-required-dimensions meet rule","LATTICE already has signed policy bundles deterministic governance fail-safe execution confidence capping and evidence-chain validation","Full-text feature mapping and independent obviousness challenge pending"
C001,PA002,"Candidate settles cross-layer evidence into an EVM credit transition and includes authority freshness provenance and origin scope","NabaOS already uses signed receipts and epistemic evidence classes for practical AI-agent verification","Whether settlement is a material contribution rather than downstream plumbing is unresolved"
C001,PA003,"Candidate combines freshness with semantic disposition provenance origin and EVM credit gating","AEP/RATS work already binds action authorizing principal and outcome and shows nonce freshness is essential","Exact relationship between authority epochs nonce freshness and candidate receipt semantics untested"
C001,PA004,"Candidate uses evidence freshness as one mandatory typed dimension in a protocol state transition","FCAC already makes automation authorization conditional on fresh audit evidence","Domain transfer and non-obviousness unresolved"
C001,PA006,"Candidate does not claim optimistic verification and instead gates settlement on multiple evidence dimensions","opML already supplies optimistic ML fraud-proof mechanics","Composition may be an obvious policy layer over existing verification"
C001,PA007,"Candidate adds semantic authority provenance freshness origin-scope dimensions and explicit credit state","CommitLLM already binds committed inference to challenge-time audit artifacts","Feature-level comparison must use a pinned repository revision"
C001,PA008,"Candidate preserves independently failing evidence dimensions instead of treating deterministic re-execution as sufficient","EigenAI overlaps deterministic inference public audit and cryptoeconomic enforcement","Economic lifecycle difference and publication status require independent review"
C001,PA010,"Candidate targets inference receipts rather than provenance of AI-driven contract audit outputs","ProvAuditChain overlaps gas-efficient on-chain provenance for AI audit artifacts","Accessible full text and implementation details not yet reviewed"
C001,PA012,"Candidate claims no patent priority and narrows to an experimental research artifact","Patent families overlap blockchain ML verification provenance and verification-linked transactions","Professional family and claim-construction search is pending"

